gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,truncated_by_depth,seed_reach,observed_flow,incomplete_inflow,temporal_matched_kzt,temporal_share,active_days,temporal_matched_days,same_day_flow_days,intercluster_degree,score_coordinator,score_consolidator,score_distributor,score_transit,score_terminal,score_peripheral,alternative_role,alternative_role_score,observation_note,norm_seed_convergence,contribution_seed_convergence,norm_observed_flow,contribution_observed_flow,norm_brokerage,contribution_brokerage,norm_fan_in,contribution_fan_in,why
100000000011452100,consolidator,0.9322477272727272,0,0.41726016135948174,Вход от 3 клиентов: 110.0 тыс. KZT; достижим от 7 seed. Схождение потоков.,1,False,3,1,110000.0,16685.0,7,2,0.0004872439141518537,3.478406055209261e-06,0.1516818181818182,False,7,110000.0,False,13685.0,0.8201977824393167,7,2,2,1,0.0,0.9322477272727272,0.0,0.0,0.0,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",0.7,0.24499999999999997,0.08699511593601843,0.021748778984004607,0.0020455295019088907,0.0005113823754772227,1.0,0.15,Главные вклады: достижим от 7 seed (+0.245); 3 плательщиков (+0.150).
100000000018102100,peripheral,0.1,0,0.296384013208073,"Связи: вход 1, выход 0; оборот max(вход,выход) 7.0 тыс. KZT. Выраженная роль не установлена. Граница: выход неизвестен.",4,False,1,0,7000.0,0.0,1,0,0.00031863685952781065,0.0,0.0,True,7,7000.0,False,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,none,0.0,Граница глубины: дальнейшие переводы неизвестны; нельзя оценить удержание средств.,0.7,0.24499999999999997,0.005536052832292082,0.0013840132080730205,0.0,0.0,0.3333333333333333,0.049999999999999996,Главные вклады: достижим от 7 seed (+0.245); 1 плательщиков (+0.050). Выход за границей неизвестен.
100000000031787100,transit,0.9166666666666667,1,0.10279445553236741,"Вход 90.0 тыс., выход 90.0 тыс. KZT; выход/вход=1.00; совпадение по датам 44%. Гипотеза транзита.",2,False,1,2,90000.0,90000.0,2,4,0.0004288723290876754,0.0,1.0,False,1,90000.0,False,40000.0,0.4444444444444444,6,2,0,0,0.0,0.0,0.0,0.9166666666666667,0.0,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",0.1,0.034999999999999996,0.07117782212946962,0.017794455532367404,0.0,0.0,0.3333333333333333,0.049999999999999996,Главные вклады: 1 плательщиков (+0.050); достижим от 1 seed (+0.035).
100000000041368100,terminal,0.6811077011063721,2,0.4316345876130976,"Вход 160.0 тыс. KZT от 1 клиентов; выходящих связей 0, depth=1. Кандидат в конечные получатели за период.",1,False,1,0,160000.0,0.0,1,0,0.00031581597080923844,0.0,0.0,False,10,160000.0,False,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.6811077011063721,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",1.0,0.35,0.12653835045239045,0.03163458761309761,0.0,0.0,0.3333333333333333,0.049999999999999996,Главные вклады: достижим от 10 seed (+0.350); 1 плательщиков (+0.050).
100000000076451100,consolidator,0.8558060930142405,3,0.42640410767426085,Вход от 3 клиентов: 87.7 тыс. KZT; достижим от 7 seed. Схождение потоков.,2,False,3,4,87707.0,58000.0,4,4,0.0013836369526732512,9.565616651825468e-05,0.661292713238396,False,7,87707.0,False,5000.0,0.08620689655172414,6,1,0,0,0.0,0.8558060930142405,0.0,0.0,0.0,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",0.7,0.24499999999999997,0.0693643693945488,0.0173410923486372,0.0562520613024945,0.014063015325623625,1.0,0.15,Главные вклады: достижим от 7 seed (+0.245); 3 плательщиков (+0.150).
100000000089154100,distributor,0.9752293577981648,0,0.39314728681768646,15 получателей при 1 плательщиках; выход 425.5 тыс. KZT. Веер исходящих переводов.,1,False,1,15,10000.0,425500.0,1,21,0.0002858992819727825,9.535715244562024e-05,42.55,False,7,425500.0,True,0.0,0.0,10,0,1,5,0.0,0.0,0.9752293577981648,0.0,0.0,0.1,none,0.0,Выход выше наблюдаемого входа: возможны средства вне периода или выборки.,0.7,0.24499999999999997,0.33651292573432584,0.08412823143358146,0.05607622153642013,0.014019055384105033,0.3333333333333333,0.049999999999999996,Главные вклады: достижим от 7 seed (+0.245); поток 425.5 тыс. KZT (+0.084).
100000000190228100,peripheral,0.1,4,0.3384593769540626,"Связи: вход 1, выход 1; оборот max(вход,выход) 28.6 тыс. KZT. Выраженная роль не установлена.",2,False,1,1,5000.0,28560.0,1,1,0.0005785580297074432,1.9131233303650935e-05,5.712,False,8,28560.0,True,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,none,0.0,Выход выше наблюдаемого входа: возможны средства вне периода или выборки.,0.8,0.27999999999999997,0.022587095555751693,0.005646773888937923,0.0112504122604989,0.002812603065124725,0.3333333333333333,0.049999999999999996,Главные вклады: достижим от 8 seed (+0.280); 1 плательщиков (+0.050).
100000000201868100,transit,1.0,5,0.3325660727905534,"Вход 190.0 тыс., выход 190.0 тыс. KZT; выход/вход=1.00; совпадение по датам 100%. Гипотеза транзита.",2,False,1,1,190000.0,190000.0,1,1,0.0009675210638111142,0.0,1.0,False,7,190000.0,False,190000.0,1.0,2,1,0,0,0.0,0.0,0.0,1.0,0.0,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",0.7,0.24499999999999997,0.15026429116221365,0.03756607279055341,0.0,0.0,0.3333333333333333,0.049999999999999996,Главные вклады: достижим от 7 seed (+0.245); 1 плательщиков (+0.050).
100000000254336100,peripheral,0.1,0,0.36703709738405377,"Связи: вход 2, выход 1; оборот max(вход,выход) 97.2 тыс. KZT. Выраженная роль не установлена.",3,False,2,1,97177.0,60000.0,2,1,0.0002903572808468323,1.9206257747978978e-05,0.6174300503205491,False,7,97177.0,False,60000.0,1.0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.1,none,0.0,"Вывод ограничен периодом, банком и порогом выгрузки; роль — гипотеза для проверки.",0.7,0.24499999999999997,0.07685385801194966,0.019213464502987415,0.011294531524265562,0.0028236328810663904,0.6666666666666666,0.09999999999999999,Главные вклады: достижим от 7 seed (+0.245); 2 плательщиков (+0.100).
100000000267734100,peripheral,0.1,1,0.19280149016999343,"Связи: вход 2, выход 7; оборот max(вход,выход) 282.0 тыс. KZT. Выраженная роль не установлена.",1,False,2,7,180000.0,282000.0,4,8,0.0005339012596298302,1.3913624220837043e-05,1.5666666666666667,False,1,282000.0,True,40000.0,0.2222222222222222,8,2,1,0,0.0,0.0,0.0,0.0,0.0,0.1,none,0.0,Выход выше наблюдаемого входа: возможны средства вне периода или выборки.,0.1,0.034999999999999996,0.22302384267233816,0.05575596066808454,0.008182118007635563,0.0020455295019088907,0.6666666666666666,0.09999999999999999,Главные вклады: 2 плательщиков (+0.100); поток 282.0 тыс. KZT (+0.056).
